Congruent,Incongruent,Uninformative
0.811827957,0.7631578947,0.8125
0.7650273224,0.5526315789,0.7040816327
0.7150537634,0.5526315789,0.6354166667
0.6720430108,0.5263157895,0.59375
0.7405405405,0.725,0.6276595745
0.6989247312,0.6052631579,0.65625
0.6972972973,0.65,0.6276595745
0.7204301075,0.5526315789,0.65625
0.6612903226,0.5526315789,0.5833333333
0.6129032258,0.4473684211,0.5208333333
0.6290322581,0.5526315789,0.5625
0.7258064516,0.5,0.6875
0.7096774194,0.6052631579,0.6458333333
0.6827956989,0.6052631579,0.6354166667
0.6702702703,0.5263157895,0.6041666667
0.7634408602,0.6052631579,0.7083333333
0.6505376344,0.5526315789,0.6145833333
0.6844919786,0.6428571429,0.6444444444
0.7150537634,0.6052631579,0.6666666667
0.7258064516,0.6052631579,0.6666666667
0.688172043,0.5526315789,0.5833333333
0.6540540541,0.525,0.5744680851
0.6557377049,0.5405405405,0.58
0.6451612903,0.5,0.5729166667
0.6720430108,0.5,0.5833333333